#gemeente,provincie,inwoners,landoppervlakte,inwoners/km,gem. inkomen per inw.,hoofdplaats,grootste plaatsen
 Korendijk Korendijk, Zuid Holland,10.693,77.91,139.78,13.400,Piershil,Goudswaard. Nieuw Beijerland. Zuid Beijerland
 Krimpen aan den IJssel Krimpen aan den IJssel, Zuid Holland,28.814,7.83,3672.80,13.900,Krimpen aan den IJssel,Krimpen aan den IJssel
 Laarbeek Laarbeek, Noord Brabant,21.815,55.36,393.52,13.000,Beek en Donk,Aarle Rixtel. Beek en Donk. Lieshout
 Landerd Landerd, Noord Brabant,15.262,70.40,209.36,12.900,Zeeland,Schaijk. Zeeland
 Landgraaf Landgraaf, Limburg,37.530,24.60,1577.24,12.500,Landgraaf,Landgraaf. Nieuwenhagen. Schaesberg. Ubach over Worms
 Landsmeer Landsmeer, Noord Holland,10.457,22.54,453.46,15.500,Landsmeer,Landsmeer
 Langedijk Langedijk, Noord Holland,26.984,24.15,1075.07,13.500,Broek op Langedijk,Broek op Langedijk. Sint Pancras. Noord Scharwoude. Zuid Scharwoude
 Lansingerland Lansingerland, Zuid Holland,57.188,54.00,900.04,14.600,Bergschenhoek,Bergschenhoek. Berkel en Rodenrijs. Bleiswijk
 Laren Laren, Noord Holland,10.846,12.22,896.48,20.000,Laren,Laren
 Leek Leek, Groningen,19.607,63.57,303.95,12.400,Leek,Leek. Tolbert. Zevenhuizen
 Leerdam Leerdam, Zuid Holland,20.586,33.79,609.97,12.400,Leerdam,Leerdam
 Leeuwarden Leeuwarden, Friesland,108.113,151.70,713,12.300,Leeuwarden,Goutum. Leeuwarden. Wirdum
 Leeuwarderadeel Leeuwarderadeel, Friesland,10.275,40.79,254.79,12.200,Stiens,Britsum. Stiens
 Leiden Leiden, Zuid Holland,121.199,21.95,5372,13.700,Leiden,Leiden
 Leiderdorp Leiderdorp, Zuid Holland,26.788,11.73,2226.77,14.900,Leiderdorp,Leiderdorp
